# simv0_comparison.dat  --  decoupled vs coupled at aligned times
#   (spatial results in simv0_spatial.dat; adaptive step was used)
# t(s)          T_dec(K)       T_coup(K)      WS(m/s)        G_eff(W/m2)    h_eff(W/m2K)   P_dec(W)       P_coup(W)
   28300.000000     328.132510     305.300615      16.137595     837.243389      67.024052     288.000000     233.367197
   28400.000000     328.132510     305.273203      16.092805     832.819803      66.853855     288.000000     232.163785
   28500.000000     328.132510     305.245359      16.047256     828.337853      66.680769     288.000000     230.944251
   28600.000000     328.132510     305.217080      16.000943     823.797865      66.504782     288.000000     229.708673
   28700.000000     328.132510     305.188366      15.953864     819.200168      66.325884     288.000000     228.457132
   28800.000000     328.132510     305.159213      15.906016     814.545097      66.144061     288.000000     227.189710
   28900.000000     328.132510     305.129619      15.857395     809.832992      65.959302     288.000000     225.906487
   29000.000000     328.132510     305.099583      15.807997     805.064200      65.771594     288.000000     224.607550
   29100.000000     328.132510     305.069103      15.757820     800.239073      65.580923     288.000000     223.292984
   29200.000000     328.132510     305.038175      15.706860     795.357968      65.387276     288.000000     221.962875
   29300.000000     328.132510     305.006798      15.655113     790.421249      65.190639     288.000000     220.617313
   29400.000000     328.132510     304.974968      15.602575     785.429284      64.990998     288.000000     219.256387
   29500.000000     328.132510     304.942685      15.549243     780.382450      64.788338     288.000000     217.880189
   29600.000000     328.132510     304.909944      15.495113     775.281126      64.582644     288.000000     216.488813
   29700.000000     328.132510     304.876744      15.440180     770.125700      64.373901     288.000000     215.082353
   29800.000000     328.132510     304.843082      15.384440     764.916565      64.162092     288.000000     213.660905
   29900.000000     328.132510     304.808954      15.327890     759.654121      63.947202     288.000000     212.224568
   30000.000000     328.132510     304.774359      15.270524     754.338773      63.729213     288.000000     210.773441
   30100.000000     328.132510     304.739293      15.212338     748.970933      63.508109     288.000000     209.307624
   30200.000000     328.132510     304.703752      15.153328     743.551019      63.283871     288.000000     207.827222
   30300.000000     328.132510     304.667735      15.093488     738.079457      63.056481     288.000000     206.332338
   30400.000000     328.132510     304.631237      15.032813     732.556677      62.825921     288.000000     204.823079
   30500.000000     328.132510     304.594256      14.971299     726.983119      62.592170     288.000000     203.299553
   30600.000000     328.132510     304.556788      14.908941     721.359227      62.355210     288.000000     201.761869
   30700.000000     328.132510     304.518830      14.845732     715.685454      62.115020     288.000000     200.210141
   30800.000000     328.132510     304.480377      14.781668     709.962258      61.871578     288.000000     198.644480
   30900.000000     328.132510     304.441427      14.716743     704.190106      61.624864     288.000000     197.065003
   31000.000000     328.132510     304.401975      14.650950     698.369471      61.374854     288.000000     195.471828
   31100.000000     328.132510     304.362018      14.584284     692.500836      61.121526     288.000000     193.865072
   31200.000000     328.132510     304.321551      14.516739     686.584688      60.864857     288.000000     192.244859
   31300.000000     328.132510     304.280570      14.448308     680.621523      60.604822     288.000000     190.611312
   31400.000000     328.132510     304.239072      14.378985     674.611848      60.341396     288.000000     188.964555
