# simv0 diagnostic: method selection + RK45 step-size log
# DECOUPLED method: Classical RK4
#   reason: Stiffness: tau/h=   3.9 < 5, tol=  0.100 K: O(h^4) accuracy
# COUPLED   method: Classical RK4
#   reason: BTE-NS coupling, tau/h=   3.9, tol=  0.100 K: O(h^4) accuracy
# SPATIAL   method: RK45 Dormand-Prince (adaptive)
#   reason: Spatial 1D PDE, tau/h=   3.9: adaptive error control essential
#
# RK45 adaptive log (spatial mode only):
# t(s)          h_used(s)      err_norm       accept
          0.000     100.000000***************  REJECT
       1128.787       2.441258       0.449858  ACCEPT
       1131.228       2.577752       0.580617  ACCEPT
       1133.806       2.586460       0.775403  ACCEPT
       1136.392       2.449304       0.753326  ACCEPT
       1138.842       2.332860       0.542801  ACCEPT
       1141.174       2.372482       0.428853  ACCEPT
       1143.547       2.529204       0.492981  ACCEPT
       1146.076       2.622167       0.709527  ACCEPT
       1148.698       2.527604       0.832562  ACCEPT
       1151.226       2.359762       0.646301  ACCEPT
       1153.586       2.317521       0.445746  ACCEPT
       1155.903       2.451596       0.426463  ACCEPT
       1158.355       2.616466       0.601320  ACCEPT
       1160.971       2.606973       0.845366  ACCEPT
       1163.578       2.426443       0.779541  ACCEPT
       1166.005       2.295328       0.510211  ACCEPT
       1168.300       2.363400       0.394269  ACCEPT
       1170.663       2.562248       0.488912  ACCEPT
       1173.226       2.660833       0.769934  ACCEPT
       1175.887       2.523304       0.899120  ACCEPT
       1178.410       2.319789       0.631585  ACCEPT
       1180.730       2.288783       0.404843  ACCEPT
       1183.018       2.468254       0.403152  ACCEPT
       1185.487       2.664028       0.632950  ACCEPT
       1188.151       2.627286       0.937333  ACCEPT
       1190.778       2.395362       0.803820  ACCEPT
       1193.173       2.252070       0.470125  ACCEPT
       1195.425       2.357120       0.358414  ACCEPT
       1197.783       2.604637       0.489310  ACCEPT
       1200.387       2.704411       0.852473  ACCEPT
       1203.092       2.512923       0.977626  ACCEPT
       1205.604       2.271889       0.607616  ACCEPT
       1207.876       2.258936       0.361285  ACCEPT
       1210.135       2.492163       0.381172  ACCEPT
       1212.627       2.720163       0.678273  ACCEPT
       1215.348       2.645797       1.055021  REJECT
       1215.348       2.355845       0.534679  ACCEPT
       1217.703       2.403093       0.455447  ACCEPT
       1220.107       2.531194       0.526793  ACCEPT
       1222.638       2.589643       0.704721  ACCEPT
       1225.227       2.499649       0.771516  ACCEPT
       1227.727       2.369477       0.611580  ACCEPT
       1230.097       2.352905       0.460852  ACCEPT
       1232.449       2.472491       0.463567  ACCEPT
       1234.922       2.595103       0.624050  ACCEPT
       1237.517       2.566571       0.798213  ACCEPT
       1240.084       2.416418       0.714842  ACCEPT
       1242.500       2.325801       0.504805  ACCEPT
       1244.826       2.399884       0.426433  ACCEPT
       1247.226       2.561313       0.528569  ACCEPT
       1249.787       2.618694       0.757670  ACCEPT
       1252.406       2.491330       0.816496  ACCEPT
       1254.897       2.334978       0.593737  ACCEPT
       1257.232       2.332419       0.424807  ACCEPT
       1259.564       2.491213       0.446420  ACCEPT
       1262.056       2.634539       0.657883  ACCEPT
       1264.690       2.578204       0.868583  ACCEPT
       1267.268       2.386699       0.724706  ACCEPT
       1269.655       2.290909       0.467883  ACCEPT
       1271.946       2.400064       0.395559  ACCEPT
       1274.346       2.600299       0.535790  ACCEPT
       1276.946       2.651349       0.830125  ACCEPT
       1279.598       2.476741       0.868120  ACCEPT
       1282.074       2.293017       0.567275  ACCEPT
       1284.367       2.311485       0.385218  ACCEPT
       1286.679       2.517632       0.430599  ACCEPT
       1289.197       2.681762       0.706496  ACCEPT
       1291.878       2.587264       0.958316  ACCEPT
       1294.466       2.348451       0.728553  ACCEPT
       1296.814       2.251810       0.425012  ACCEPT
       1299.066       2.404883       0.364234  ACCEPT
       1301.471       2.648868       0.550248  ACCEPT
       1304.120       2.686526       0.927264  ACCEPT
       1306.806       2.454669       0.924689  ACCEPT
       1309.261       2.244069       0.532025  ACCEPT
       1311.505       2.291355       0.344241  ACCEPT
       1313.796       2.552481       0.417235  ACCEPT
       1316.349       2.736081       0.773575  ACCEPT
       1319.085       2.592215       1.069272  REJECT
       1319.085       2.301950       0.534169  ACCEPT
       1321.387       2.348565       0.397864  ACCEPT
       1323.735       2.541548       0.470233  ACCEPT
       1326.277       2.659978       0.737313  ACCEPT
       1328.937       2.544428       0.904052  ACCEPT
       1331.481       2.336652       0.663977  ACCEPT
       1333.818       2.282474       0.418888  ACCEPT
       1336.100       2.444718       0.394493  ACCEPT
       1338.545       2.650107       0.599316  ACCEPT
       1341.195       2.642255       0.915957  ACCEPT
       1343.837       2.420150       0.835800  ACCEPT
       1346.258       2.257690       0.496724  ACCEPT
       1348.515       2.337135       0.360237  ACCEPT
       1350.852       2.579935       0.464811  ACCEPT
       1353.432       2.706425       0.810812  ACCEPT
       1356.139       2.540121       0.990692  ACCEPT
       1358.679       2.290389       0.647397  ACCEPT
